City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kabwe,-14.4469,28.4464,299.29,43,0,1.88,ZM,1670050898
1,shingu,33.7333,135.9833,285.86,65,100,2.14,JP,1670050898
2,antakya,36.2066,36.1572,289.9,67,6,0.86,TR,1670050899
3,urumqi,43.801,87.6005,263.68,79,25,2.0,CN,1670050623
4,port-gentil,-0.7193,8.7815,300.13,89,75,2.06,GA,1670050899
5,clyde river,70.4692,-68.5914,253.28,77,100,2.06,CA,1670050899
6,albany,42.6001,-73.9662,278.48,64,100,1.34,US,1670050900
7,ceres,37.5949,-120.9577,279.33,91,100,1.56,US,1670050900
8,ushuaia,-54.8,-68.3,272.96,95,41,2.64,AR,1670050900
9,rikitea,-23.1203,-134.9692,296.64,72,99,6.05,PF,1670050901
10,mingaora,34.7758,72.3625,291.39,26,1,1.92,PK,1670050901
11,bubaque,11.2833,-15.8333,299.21,64,89,4.86,GW,1670050901
12,busselton,-33.65,115.3333,296.38,54,19,9.39,AU,1670050901
13,zhanaozen,43.3,52.8,271.25,36,98,7.26,KZ,1670050902
14,hilo,19.7297,-155.09,297.19,99,88,0.89,US,1670050902
15,honningsvag,70.9821,25.9704,272.01,80,100,8.23,NO,1670050902
16,punta arenas,-53.15,-70.9167,278.21,65,65,4.31,CL,1670050902
17,vao,-22.6667,167.4833,298.68,88,100,3.48,NC,1670050903
18,kaitangata,-46.2817,169.8464,287.9,64,97,2.54,NZ,1670050903
19,lata,40.1629,-8.3327,275.33,87,0,1.95,PT,1670050904
20,cayenne,4.9333,-52.3333,296.17,94,75,1.03,GF,1670050787
21,puerto ayora,-0.7393,-90.3518,292.9,95,88,3.38,EC,1670050904
22,new norfolk,-42.7826,147.0587,300.32,13,7,2.24,AU,1670050904
23,high rock,26.6208,-78.2833,297.18,62,0,10.34,BS,1670050905
24,qaanaaq,77.484,-69.3632,271.85,67,100,6.99,GL,1670050905
25,hithadhoo,-0.6,73.0833,301.25,70,100,6.3,MV,1670050906
26,taoudenni,22.6783,-3.9836,290.99,26,0,2.68,ML,1670050906
27,castro,-24.7911,-50.0119,289.47,95,98,1.8,BR,1670050906
28,kahului,20.8947,-156.47,298.62,81,100,2.68,US,1670050906
29,hinton,53.4001,-117.5857,255.45,94,22,2.75,CA,1670050907
30,ajdabiya,30.7554,20.2263,288.04,54,78,5.0,LY,1670050907
31,katherine,-14.4667,132.2667,311.33,14,100,5.66,AU,1670050907
32,tual,-5.6667,132.75,301.96,67,41,1.4,ID,1670050907
33,okhotsk,59.3833,143.3,247.56,97,86,3.1,RU,1670050907
34,imeni poliny osipenko,52.4201,136.4853,246.82,94,77,1.17,RU,1670050908
35,hami,42.8,93.45,269.7,19,5,1.24,CN,1670050908
36,upernavik,72.7868,-56.1549,273.12,82,25,22.36,GL,1670050908
37,kapaa,22.0752,-159.319,298.33,90,40,6.17,US,1670050634
38,saint-philippe,-21.3585,55.7679,300.92,76,52,2.91,RE,1670050909
39,hermanus,-34.4187,19.2345,289.71,61,99,3.37,ZA,1670050295
40,vaini,-21.2,-175.2,300.06,82,76,5.89,TO,1670050909
41,kruisfontein,-34.0033,24.7314,293.09,57,71,9.15,ZA,1670050909
42,suoyarvi,62.0833,32.35,265.99,82,100,2.22,RU,1670050843
43,ribeira grande,38.5167,-28.7,286.36,72,99,8.05,PT,1670050910
44,trinec,49.6776,18.6708,275.3,85,100,1.05,CZ,1670050910
45,paragominas,-2.9667,-47.4833,295.46,96,100,1.28,BR,1670050910
46,tuktoyaktuk,69.4541,-133.0374,268.74,95,100,10.91,CA,1670050910
47,atuona,-9.8,-139.0333,298.62,80,100,9.08,PF,1670050911
48,ahuimanu,21.4447,-157.8378,295.79,93,100,1.79,US,1670050911
49,lavrentiya,65.5833,-171.0,268.26,84,100,3.52,RU,1670050911
50,qasigiannguit,68.8193,-51.1922,273.29,60,100,12.86,GL,1670050912
51,sitka,57.0531,-135.33,270.95,47,16,0.94,US,1670050912
52,ayagoz,47.9714,80.4392,257.93,91,31,2.87,KZ,1670050912
53,ust-kuyga,70.0167,135.6,252.06,99,100,4.0,RU,1670050913
54,oksfjord,70.2396,22.3479,273.25,89,5,4.5,NO,1670050913
55,nantucket,41.2835,-70.0995,284.23,87,0,3.6,US,1670050913
56,kirillov,59.863,38.3813,262.84,89,100,2.98,RU,1670050914
57,dikson,73.5069,80.5464,257.42,97,100,1.44,RU,1670050914
58,nouadhibou,20.931,-17.0347,290.49,83,0,6.22,MR,1670050914
59,chemal,51.4111,86.005,263.29,66,3,1.64,RU,1670050915
60,avarua,-21.2078,-159.775,299.18,94,20,4.12,CK,1670050915
61,basco,20.4487,121.9702,300.24,76,6,6.26,PH,1670050916
62,khasan,42.4308,130.6434,268.75,50,1,10.46,RU,1670050916
63,leek,53.1625,6.3764,277.13,51,40,6.69,NL,1670050916
64,hofn,64.2539,-15.2082,277.93,67,8,5.0,IS,1670050917
65,flin flon,54.7682,-101.865,251.26,97,92,3.42,CA,1670050917
66,nerchinskiy zavod,51.3088,119.61,245.46,92,23,1.22,RU,1670050918
67,santa maria,-29.6842,-53.8069,294.59,91,100,2.35,BR,1670050860
68,bambous virieux,-20.3428,57.7575,298.51,64,70,4.25,MU,1670050919
69,port alfred,-33.5906,26.891,294.92,64,29,3.58,ZA,1670050919
70,butaritari,3.0707,172.7902,300.72,72,95,7.96,KI,1670050919
71,tuatapere,-46.1333,167.6833,287.8,71,100,2.14,NZ,1670050919
72,wolomin,52.3401,21.2421,273.17,94,100,3.39,PL,1670050630
73,manbij,36.5281,37.9549,287.28,68,0,1.99,SY,1670050920
74,arraial do cabo,-22.9661,-42.0278,296.17,91,100,12.27,BR,1670050920
75,cape town,-33.9258,18.4232,292.65,59,20,6.69,ZA,1670050314
76,nizhniy kuranakh,58.8353,125.4869,250.8,96,100,3.26,RU,1670050921
77,bengkulu,-3.8004,102.2655,297.97,87,100,0.4,ID,1670050921
78,inuvik,68.3499,-133.7218,271.71,90,100,3.6,CA,1670050654
79,tasiilaq,65.6145,-37.6368,274.24,94,100,7.95,GL,1670050922
80,guerrero negro,27.9769,-114.0611,289.61,73,100,2.68,MX,1670050922
81,isangel,-19.55,169.2667,301.0,84,100,5.33,VU,1670050816
82,ampanihy,-24.7,44.75,305.13,36,97,2.71,MG,1670050923
83,bluff,-46.6,168.3333,283.6,78,100,11.82,NZ,1670050923
84,airai,-8.9266,125.4092,295.18,60,100,1.07,TL,1670050923
85,nikolskoye,59.7035,30.7861,265.26,84,100,2.92,RU,1670050924
86,imeni babushkina,59.7573,43.1285,262.67,88,99,2.5,RU,1670050925
87,sapernoye,60.7167,29.9505,267.14,83,100,2.28,RU,1670050824
88,ponta do sol,32.6667,-17.1,289.1,65,34,4.27,PT,1670050925
89,georgetown,5.4112,100.3354,303.11,80,40,2.68,MY,1670050764
90,barrow,71.2906,-156.7887,271.16,100,100,10.29,US,1670050925
91,lucapa,-8.4192,20.7447,296.24,82,99,0.12,AO,1670050926
92,saskylakh,71.9167,114.0833,255.06,97,100,4.41,RU,1670050926
93,skjervoy,70.0311,20.9714,270.15,70,1,5.48,NO,1670050920
94,yellowknife,62.456,-114.3525,237.44,68,40,2.57,CA,1670050927
95,dolores,-36.3132,-57.6792,284.85,92,5,2.19,AR,1670050927
96,itarema,-2.9248,-39.9167,299.27,73,80,6.86,BR,1670050928
97,saldanha,-33.0117,17.9442,290.47,57,68,6.91,ZA,1670050905
98,niigata,37.9022,139.0236,280.88,56,11,6.73,JP,1670050928
99,narsaq,60.9167,-46.05,273.27,99,100,3.36,GL,1670050928
100,yar-sale,66.8333,70.8333,268.2,95,100,8.51,RU,1670050929
101,carnarvon,-24.8667,113.6333,297.15,65,0,7.92,AU,1670050809
102,mar del plata,-38.0023,-57.5575,287.52,94,0,2.24,AR,1670050891
103,port elizabeth,-33.918,25.5701,294.32,85,75,4.92,ZA,1670050929
104,bredasdorp,-34.5322,20.0403,289.85,54,100,3.35,ZA,1670050929
105,yarmouth,41.7057,-70.2286,282.57,90,40,2.24,US,1670050930
106,la ronge,55.1001,-105.2842,254.26,90,100,5.03,CA,1670050930
107,san rafael,-34.6177,-68.3301,296.12,29,3,4.4,AR,1670050930
108,te anau,-45.4167,167.7167,287.42,74,100,2.65,NZ,1670050931
109,saint-francois,46.4154,3.9054,275.75,93,100,0.51,FR,1670050931
110,grindavik,63.8424,-22.4338,277.41,93,0,2.06,IS,1670050931
111,kodiak,57.79,-152.4072,272.82,56,100,1.86,US,1670050931
112,pimentel,-6.8367,-79.9342,291.18,90,85,4.85,PE,1670050932
